TICK:234 | ORBIT:2 | TEMP:25 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:235 | ORBIT:2 | TEMP:24 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:236 | ORBIT:2 | TEMP:23 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:237 | ORBIT:2 | TEMP:22 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:238 | ORBIT:2 | TEMP:21 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:239 | ORBIT:2 | TEMP:20 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:240 | ORBIT:2 | TEMP:19 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:241 | ORBIT:2 | TEMP:18 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:242 | ORBIT:2 | TEMP:17 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:243 | ORBIT:2 | TEMP:16 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:244 | ORBIT:2 | TEMP:15 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:245 | ORBIT:2 | TEMP:14 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:246 | ORBIT:2 | TEMP:13 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:247 | ORBIT:2 | TEMP:12 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:248 | ORBIT:2 | TEMP:11 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:249 | ORBIT:2 | TEMP:10 | VBAT:6.250 | SAFE:0 | THERM_STALE: 0
TICK:250 | ORBIT:2 | TEMP:9 | VBAT:6.188 | SAFE:0 | THERM_STALE: 0
TICK:251 | ORBIT:2 | TEMP:8 | VBAT:6.188 | SAFE:0 | THERM_STALE: 0
TICK:252 | ORBIT:2 | TEMP:7 | VBAT:6.188 | SAFE:0 | THERM_STALE: 0
TICK:253 | ORBIT:2 | TEMP:6 | VBAT:6.188 | SAFE:0 | THERM_STALE: 0
TICK:254 | ORBIT:2 | TEMP:5 | VBAT:6.188 | SAFE:0 | THERM_STALE: 0
